rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,42769,2532208,5416,44.73781388478582,1.9845357536010257,8.734210968017578,Staphylococcus haemolyticus,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
2,58044,2587432,72,48.61111111111111,1.978914232330877,7.9876627922058105,Steroidobacter denitrificans,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Steroidobacter
3,73483,2638325,123,29.268292682926827,1.871442418112287,7.640116214752197,,,,,,,
4,48083,2551808,61,36.0655737704918,1.9097947096899266,6.237231254577637,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
5,58162,2587591,61,49.18032786885246,1.5076213244090613,5.662905693054199,,,,,,,
6,89128,2693057,61,42.62295081967213,1.4561112661478437,5.602121353149414,,,,,,,
7,39027,2521890,67,62.68656716417911,1.9485098756931831,5.329452991485596,Gemmatimonadales bacterium,100.0,1.46e-23,122.0,Gemmatimonadota,Unknown,Unknown
8,83926,2673917,82,68.29268292682927,1.8785324347235735,5.321861743927002,Actinomyces sp.,96.341,3.39e-27,135.0,Actinomycetota,Actinomycetaceae,Actinomyces
9,83289,2673068,66,59.09090909090909,1.689035435387326,5.2637939453125,PREDICTED: Ailuropoda,100.0,4.92e-23,120.0,Chordata,Ursidae,Ailuropoda
10,53107,2569730,64,64.0625,1.9413980376599163,5.170979022979736,Chromobacterium violaceum,100.0,5.58e-22,116.0,Pseudomonadota,Chromobacteriaceae,Chromobacterium
11,32725,2491740,73,54.794520547945204,1.9890983405616893,5.1048359870910645,Janthinobacterium lividum,100.0,9.41e-27,132.0,Pseudomonadota,Oxalobacteraceae,Janthinobacterium
12,2,610007,61,47.540983606557376,1.1034990673875955,5.0944905281066895,,,,,,,
13,98039,2722449,72,45.83333333333333,1.9871086637005075,5.046472549438477,Fusobacterium polymorphum,100.0,3.19e-26,131.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
14,48061,2551664,64,59.375,1.899988766373815,5.043125629425049,Mycolicibacterium chitae,100.0,5.58e-22,116.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
15,61486,2599697,77,66.23376623376623,1.912092211004246,4.928606986999512,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
16,25392,2466982,104,37.5,1.9541494239872044,4.878964424133301,Homo sapiens,100.0,2.63e-43,188.0,Chordata,Hominidae,Homo
17,46190,2545043,66,53.03030303030303,1.9714157726920518,4.867862701416016,Fusobacterium polymorphum,100.0,4.92e-23,120.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
18,89071,2692552,78,56.41025641025641,1.934559199734664,4.802392959594727,Clostridium perfringens,100.0,2.08e-29,141.0,Bacillota,Clostridiaceae,Clostridium
19,97781,2722178,72,65.27777777777779,1.9105739280137324,4.622844696044922,Actinomyces timonensis,100.0,3.19e-26,131.0,Actinomycetota,Actinomycetaceae,Actinomyces
20,28357,2478690,61,50.81967213114754,1.555908473384584,4.572521686553955,,,,,,,
21,23373,2460873,88,59.09090909090909,1.9448794969301497,4.5483317375183105,Ramlibacter sp.,100.0,9.67e-35,159.0,Pseudomonadota,Comamonadaceae,Ramlibacter
22,6909,2392070,61,57.377049180327866,1.9510501943492133,4.545387268066406,Paenarthrobacter nitroguajacolicus,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Paenarthrobacter
23,100084,2729624,61,37.704918032786885,1.9057026102692771,4.523261547088623,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
24,55081,2576441,61,34.42622950819672,1.6796605229195791,4.522229194641113,,,,,,,
25,82952,2671710,61,45.90163934426229,1.9902277600210603,4.518916130065918,Silene latifolia,100.0,2.11e-20,111.0,Streptophyta,Caryophyllaceae,Silene
26,17428,2439597,61,62.295081967213115,1.9463023955248935,4.518465042114258,Achromobacter xylosoxidans,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Achromobacter
27,89129,2693058,61,42.62295081967213,1.4794731020725562,4.489227771759033,,,,,,,
28,12288,2423118,61,36.0655737704918,1.883240577891304,4.4199113845825195,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
29,61517,2599744,72,44.44444444444444,1.9546859469463558,4.417322635650635,Diaphorobacter sp.,100.0,3.19e-26,131.0,Pseudomonadota,Comamonadaceae,Diaphorobacter
30,49132,2556722,63,50.79365079365079,1.9775861861497872,4.405792713165283,Mycolicibacterium smegmatis,100.0,1.88e-21,114.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
31,62765,2604082,61,55.73770491803278,1.966880311143805,4.404780864715576,Candidatus Saccharibacteria,100.0,2.11e-20,111.0,Candidatus Saccharimonadota,Unknown,Unknown
32,84899,2679056,61,59.01639344262295,1.941043078129074,4.391669273376465,Paenibacillus sp.,100.0,2.11e-20,111.0,Bacillota,Paenibacillaceae,Paenibacillus
