rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,58044,2587432,72,48.61111111111111,1.978914232330877,6.149564743041992,Steroidobacter denitrificans,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Steroidobacter
2,42769,2532208,5416,44.73781388478582,1.9845357536010257,6.00117826461792,Staphylococcus haemolyticus,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
3,83289,2673068,66,59.09090909090909,1.689035435387326,5.903314113616943,PREDICTED: Ailuropoda,100.0,4.92e-23,120.0,Chordata,Ursidae,Ailuropoda
4,73483,2638325,123,29.268292682926827,1.871442418112287,5.439393520355225,,,,,,,
5,61486,2599697,77,66.23376623376623,1.912092211004246,5.0897016525268555,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
6,89128,2693057,61,42.62295081967213,1.4561112661478437,5.062588214874268,,,,,,,
7,48083,2551808,61,36.0655737704918,1.9097947096899266,5.047874927520752,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
8,46190,2545043,66,53.03030303030303,1.9714157726920518,4.872023105621338,Fusobacterium polymorphum,100.0,4.92e-23,120.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
9,45990,2544635,76,52.63157894736842,1.9259865576705784,4.3686113357543945,,,,,,,
10,6909,2392070,61,57.377049180327866,1.9510501943492133,4.341763019561768,Paenarthrobacter nitroguajacolicus,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Paenarthrobacter
11,98039,2722449,72,45.83333333333333,1.9871086637005075,4.298239231109619,Fusobacterium polymorphum,100.0,3.19e-26,131.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
12,2,610007,61,47.540983606557376,1.1034990673875955,4.212519645690918,,,,,,,
13,35300,2510555,61,47.540983606557376,1.988009168547974,4.189068794250488,Rothia dentocariosa,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Rothia
14,48061,2551664,64,59.375,1.899988766373815,4.163612365722656,Mycolicibacterium chitae,100.0,5.58e-22,116.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
15,35508,2511119,62,53.2258064516129,1.9353651203688242,4.115747451782227,Acinetobacter sp.,100.0,6.3e-21,113.0,Pseudomonadota,Moraxellaceae,Acinetobacter
16,81588,2667239,71,52.112676056338024,1.9839794495031335,4.092292785644531,Mycobacterium sp.,100.0,1.08e-25,129.0,Actinomycetota,Mycobacteriaceae,Mycobacterium
17,50999,2563038,65,61.53846153846154,1.9607925801056458,4.0888543128967285,Saccharopolyspora sp.,100.0,1.66e-22,118.0,Actinomycetota,Pseudonocardiaceae,Saccharopolyspora
18,12332,2423568,62,59.67741935483871,1.9720263244856202,4.08485746383667,Desulfobacca acetoxidans,98.387,2.68e-19,108.0,Thermodesulfobacteriota,Desulfobaccaceae,Desulfobacca
19,97781,2722178,72,65.27777777777779,1.9105739280137324,4.082563877105713,Actinomyces timonensis,100.0,3.19e-26,131.0,Actinomycetota,Actinomycetaceae,Actinomyces
20,89129,2693058,61,42.62295081967213,1.4794731020725562,4.0705647468566895,,,,,,,
21,80500,2662285,92,44.565217391304344,1.94928544382292,4.053036212921143,Clostridium botulinum,100.0,7.04e-37,167.0,Bacillota,Clostridiaceae,Clostridium
22,25392,2466982,104,37.5,1.9541494239872044,4.052587509155273,Homo sapiens,100.0,2.63e-43,188.0,Chordata,Hominidae,Homo
23,22241,2454877,61,65.57377049180327,1.0239228180015463,4.014029502868652,,,,,,,
24,15887,2433232,73,64.38356164383562,1.9043900688745723,3.967672109603882,Fusobacterium nucleatum,100.0,9.41e-27,132.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
25,20050,2448499,72,56.94444444444444,1.9854724082446875,3.956216812133789,Anatilimnocola aggregata,100.0,3.19e-26,131.0,Planctomycetota,Pirellulaceae,Anatilimnocola
26,89078,2692596,61,54.09836065573771,1.9235377574011476,3.9490480422973633,Uncultured bacterium,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
27,24177,2461800,139,51.798561151079134,1.9528325231240466,3.935577392578125,Fusobacterium nucleatum,100.0,3.98e-62,251.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
28,84899,2679056,61,59.01639344262295,1.941043078129074,3.9332926273345947,Paenibacillus sp.,100.0,2.11e-20,111.0,Bacillota,Paenibacillaceae,Paenibacillus
29,58162,2587591,61,49.18032786885246,1.5076213244090613,3.9307401180267334,,,,,,,
30,83926,2673917,82,68.29268292682927,1.8785324347235735,3.9186389446258545,Actinomyces sp.,96.341,3.39e-27,135.0,Actinomycetota,Actinomycetaceae,Actinomyces
31,53107,2569730,64,64.0625,1.9413980376599163,3.8507044315338135,Chromobacterium violaceum,100.0,5.58e-22,116.0,Pseudomonadota,Chromobacteriaceae,Chromobacterium
32,39027,2521890,67,62.68656716417911,1.9485098756931831,3.840200185775757,Gemmatimonadales bacterium,100.0,1.46e-23,122.0,Gemmatimonadota,Unknown,Unknown
33,70036,2626921,73,52.054794520547944,1.9581431364741209,3.806386947631836,Eubacterium ramulus,95.89,2.07e-22,119.0,Bacillota,Eubacteriaceae,Eubacterium
34,95320,2712791,118,54.23728813559322,1.987285656672547,3.7726809978485107,Acinetobacter lwoffii,100.0,7.91e-51,214.0,Pseudomonadota,Moraxellaceae,Acinetobacter
35,15340,2432617,78,57.692307692307686,1.9807274214658706,3.7450952529907227,Phreatobacter stygius,100.0,2.53e-28,138.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
36,27398,2475089,66,53.03030303030303,1.9941822755773035,3.7440574169158936,Desulfobulbus propionicus,98.485,2.09e-21,115.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
37,89071,2692552,78,56.41025641025641,1.934559199734664,3.7180683612823486,Clostridium perfringens,100.0,2.08e-29,141.0,Bacillota,Clostridiaceae,Clostridium
38,105638,2748890,88,37.5,1.9448725890987713,3.717381238937378,Homo sapiens,100.0,9.67e-35,159.0,Chordata,Hominidae,Homo
39,32725,2491740,73,54.794520547945204,1.9890983405616893,3.6769731044769287,Janthinobacterium lividum,100.0,9.41e-27,132.0,Pseudomonadota,Oxalobacteraceae,Janthinobacterium
40,63664,2606110,86,47.674418604651166,1.887900248268621,3.6079399585723877,[Eubacterium] brachy,97.674,5.86e-31,147.0,Bacillota,Anaerovoracaceae,Unknown
41,44596,2540445,63,31.746031746031743,1.840407230400658,3.5996828079223633,Rhinolophus hipposideros,100.0,1.88e-21,114.0,Chordata,Rhinolophidae,Rhinolophus
42,41128,2529645,69,57.971014492753625,1.9801821889996716,3.5671465396881104,MAG: uncultured,100.0,1.28e-24,125.0,Pseudomonadota,Unknown,Unknown
43,49573,2557712,96,57.291666666666664,1.9762405840050152,3.5406930446624756,Phreatobacter stygius,100.0,5.1e-39,174.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
